Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones
sep-19;304163;33714;842811;100313;13293;160187;87128;25864;147339;2072;1804;15166;395291;45272;15689;233684;643557;3067349
oct-19;331737;36922;860755;119254;13015;198697;105726;17305;119875;1609;2144;13754;554695;42799;28949;209499;669761;3326497
nov-19;298685;38869;880243;86610;11068;166838;77038;10262;106934;1025;1907;17256;339880;32329;14027;237394;623260;2943625
dic-19;352774;40967;978762;91503;10040;161000;81881;20732;129250;2083;2890;18129;464196;49277;26298;173771;726499;3330051
ene-20;425879;54111;904840;164328;8754;146096;74586;9149;146974;3153;3246;12885;359530;49466;38306;237262;780290;3418856
feb-20;308301;44498;912164;206869;10157;192534;73214;14020;93295;2796;4354;12801;224302;31953;36462;136167;639206;2943093
mar-20;299216;29197;690712;84143;10228;110150;78742;24422;90580;1401;1638;14847;138078;27137;71220;132029;635296;2439036
abr-20;284409;36606;468911;112564;5789;69300;48078;9768;117728;788;1290;10934;94465;28029;71291;77585;426703;1864239
may-20;277180;31213;659831;73492;5814;75558;54714;12539;86735;1497;1308;14914;261960;30853;45794;103749;484392;2221544
jun-20;322185;29074;714243;82857;7509;79174;62844;13463;80879;1884;1281;14193;72505;33789;106102;103205;552933;2278120
